"StateName","CountyName","FIPSWinner","VariableName","VariableValue","TrumpVClinton","TrumpVClintonPCT","CumTrumpVClinton"
"Virginia","Alexandria, VA","Clinton","MedianHouseholdIncome",89.177,-43957,-58.0198516406642,-0.742282251926986
"Virginia","Fauquier, VA","Trump","MedianHouseholdIncome",89.61,9156,24.4420715429792,-0.73560010680631
"North Dakota","Williams, ND","Trump","MedianHouseholdIncome",89.86,8334,65.073787772312,-0.729517865933034
"Massachusetts","Middlesex, MA","Clinton","MedianHouseholdIncome",90.025,-300567,-37.7248395012143,-0.948874824483307
"Colorado","Elbert, CO","Trump","MedianHouseholdIncome",90.27,8571,53.6357947434293,-0.942619618516802
"New York","Putnam, NY","Trump","MedianHouseholdIncome",90.497,7658,15.7692070094516,-0.937030729555013
"California","San Francisco, CA","Clinton","MedianHouseholdIncome",90.527,-307396,-75.2423869330128,-1.16137156414604
"Pennsylvania","Chester, PA","Clinton","MedianHouseholdIncome",90.555,-25568,-9.36563637828849,-1.18003135952016
"Maryland","Anne Arundel, MD","Clinton","MedianHouseholdIncome",90.825,-6016,-2.2274799041769,-1.18442189960818
"Indiana","Hamilton, IN","Trump","MedianHouseholdIncome",91.844,30141,19.3263570961413,-1.16242468072633
"Texas","Rockwall, TX","Trump","MedianHouseholdIncome",92.15,18796,47.0511665164714,-1.14870716219332
"Minnesota","Scott, MN","Trump","MedianHouseholdIncome",92.898,11446,15.2554345653014,-1.14035375098195
"Massachusetts","Norfolk, MA","Clinton","MedianHouseholdIncome",93.187,-102096,-27.7664912495411,-1.21486448582692
"Utah","Summit, UT","Clinton","MedianHouseholdIncome",93.235,-3170,-15.178357672971,-1.21717798517517
