GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
0500000US06005,06005,"Amador County, California",36995,*****,32211,*****,4784,*****
0500000US06007,06007,"Butte County, California",222564,*****,188764,*****,33800,*****
0500000US06009,06009,"Calaveras County, California",44767,*****,39800,*****,4967,*****
0500000US06011,06011,"Colusa County, California",21396,*****,9119,*****,12277,*****
0500000US06013,06013,"Contra Costa County, California",1096068,*****,822718,*****,273350,*****
0500000US06015,06015,"Del Norte County, California",27788,*****,22488,*****,5300,*****
0500000US06017,06017,"El Dorado County, California",182093,*****,159374,*****,22719,*****
0500000US06019,06019,"Fresno County, California",956749,*****,462672,*****,494077,*****
0500000US06021,06021,"Glenn County, California",28029,*****,16935,*****,11094,*****
0500000US06023,06023,"Humboldt County, California",135034,*****,120745,*****,14289,*****
0500000US06025,06025,"Imperial County, California",178206,*****,32351,*****,145855,*****
0500000US06027,06027,"Inyo County, California",18373,*****,14595,*****,3778,*****
0500000US06029,06029,"Kern County, California",865736,*****,424240,*****,441496,*****
0500000US06031,06031,"Kings County, California",150998,*****,71546,*****,79452,*****
0500000US06033,06033,"Lake County, California",64158,*****,52259,*****,11899,*****
0500000US06035,06035,"Lassen County, California",32645,*****,26659,*****,5986,*****
0500000US06037,06037,"Los Angeles County, California",10038388,*****,5196069,*****,4842319,*****
0500000US06039,06039,"Madera County, California",153187,*****,67942,*****,85245,*****
0500000US06041,06041,"Marin County, California",258349,*****,217474,*****,40875,*****
0500000US06043,06043,"Mariposa County, California",17789,*****,15986,*****,1803,*****
0500000US06045,06045,"Mendocino County, California",87544,*****,66851,*****,20693,*****
0500000US06047,06047,"Merced County, California",263885,*****,113663,*****,150222,*****
0500000US06049,06049,"Modoc County, California",9184,*****,7839,*****,1345,*****
0500000US06051,06051,"Mono County, California",14146,*****,10284,*****,3862,*****
0500000US06053,06053,"Monterey County, California",428441,*****,184547,*****,243894,*****
0500000US06055,06055,"Napa County, California",140295,*****,93606,*****,46689,*****
0500000US06057,06057,"Nevada County, California",98570,*****,89668,*****,8902,*****
0500000US06059,06059,"Orange County, California",3116069,*****,2051570,*****,1064499,*****
0500000US06061,06061,"Placer County, California",366280,*****,317122,*****,49158,*****
0500000US06063,06063,"Plumas County, California",18966,*****,17392,*****,1574,*****
0500000US06065,06065,"Riverside County, California",2298032,*****,1218254,*****,1079778,*****
0500000US06067,06067,"Sacramento County, California",1465832,*****,1139090,*****,326742,*****
0500000US06069,06069,"San Benito County, California",57557,*****,24250,*****,33307,*****
